date,source,market,stock_id,available_volume,susp_margin_short,susp_sbl_short,no_below_flat
2026-09-03,TWT96U,tpex,3071,60377,,,
2026-09-03,TWT96U,twse,00951,839588,,,
2026-09-03,TWT96U,tpex,3073,18587,,,
2026-09-03,TWT96U,twse,00952,678957,,,
2026-09-03,TWT96U,tpex,3078,218316,,,
2026-09-03,TWT96U,twse,00953B,11009537,,,
2026-09-03,TWT96U,tpex,3081,1110141,,,
2026-09-03,TWT96U,twse,00954,689725,,,
2026-09-03,TWT96U,tpex,3083,22883,,,
2026-09-03,TWT96U,twse,00956,100735,,,
2026-09-03,TWT96U,tpex,3086,54066,,,
2026-09-03,TWT96U,twse,00960,348486,,,
2026-09-03,TWT96U,tpex,3088,627737,,,
2026-09-03,TWT96U,twse,00961,6289944,,,
2026-09-03,TWT96U,tpex,3093,144115,,,
2026-09-03,TWT96U,twse,00962,235469,,,
2026-09-03,TWT96U,tpex,3095,2275,,,
2026-09-03,TWT96U,twse,00963,482900,,,
2026-09-03,TWT96U,tpex,3105,7878043,,,
2026-09-03,TWT96U,twse,00964,545883,,,
2026-09-03,TWT96U,tpex,3114,201678,,,
2026-09-03,TWT96U,twse,00965,579370,,,
2026-09-03,TWT96U,tpex,3118,4510,,,
2026-09-03,TWT96U,twse,00971,80845,,,
2026-09-03,TWT96U,tpex,3128,36140,,,
2026-09-03,TWT96U,twse,00972,48618,,,
2026-09-03,TWT96U,tpex,3131,170790,,,
2026-09-03,TWT96U,twse,009800,322134,,,
2026-09-03,TWT96U,tpex,3141,370770,,,
2026-09-03,TWT96U,twse,009801,301100,,,
2026-09-03,TWT96U,tpex,3147,225933,,,
2026-09-03,TWT96U,twse,009802,2059777,,,
2026-09-03,TWT96U,tpex,3152,71962,,,
2026-09-03,TWT96U,twse,009803,528855,,,
2026-09-03,TWT96U,tpex,3162,310070,,,
2026-09-03,TWT96U,twse,009804,368690,,,
2026-09-03,TWT96U,tpex,3163,1348305,,,
2026-09-03,TWT96U,twse,009805,1773360,,,
2026-09-03,TWT96U,tpex,3169,37282,,,
2026-09-03,TWT96U,twse,009808,87293,,,
2026-09-03,TWT96U,tpex,3171,5571,,,
2026-09-03,TWT96U,twse,009809,161416,,,
2026-09-03,TWT96U,tpex,3176,205855,,,
2026-09-03,TWT96U,twse,00980A,4621020,,,
2026-09-03,TWT96U,tpex,3178,21985,,,
2026-09-03,TWT96U,twse,009810,51544,,,
2026-09-03,TWT96U,tpex,3188,52896,,,
2026-09-03,TWT96U,twse,009811,434675,,,
2026-09-03,TWT96U,tpex,3205,13357,,,
2026-09-03,TWT96U,twse,009812,140919,,,
2026-09-03,TWT96U,tpex,3206,14115,,,
