id,event_date,yoy,year,is_2022
6274,2025-08-13,0.245908,2025,False
6274,2026-05-22,0.956085,2026,False
6276,2025-02-14,0.782436,2025,False
6278,2021-11-11,0.679278,2021,False
6283,2025-03-13,2.156853,2025,False
6283,2025-08-12,1.03819,2025,False
6285,2022-04-21,0.256318,2022,True
6288,2023-04-27,0.401265,2023,False
6291,2022-05-03,7.170287,2022,True
6291,2022-12-08,0.592858,2022,True
6291,2023-03-09,0.346031,2023,False
6405,2021-11-22,0.333026,2021,False
6409,2022-11-30,0.223251,2022,True
6411,2026-02-23,0.196949,2026,False
6414,2022-01-03,0.29622,2022,True
6414,2022-12-07,0.199631,2022,True
6426,2023-11-29,0.248576,2023,False
6426,2025-07-15,0.432914,2025,False
6432,2025-10-20,0.215359,2025,False
6442,2022-07-11,0.371826,2022,True
6443,2022-01-04,1.317493,2022,True
6443,2022-04-08,0.647201,2022,True
6451,2025-07-03,0.948026,2025,False
6461,2022-07-25,0.596552,2022,True
6469,2022-06-09,0.603851,2022,True
6472,2022-08-12,0.294567,2022,True
6485,2021-07-13,1.883318,2021,False
6491,2022-03-10,0.165318,2022,True
6491,2022-12-05,0.251716,2022,True
6492,2025-10-17,0.952381,2025,False
6494,2026-04-13,0.39377,2026,False
6496,2026-01-14,0.342096,2026,False
6506,2022-03-21,0.213046,2022,True
6509,2024-02-21,0.169734,2024,False
6512,2022-12-07,1.775424,2022,True
6516,2026-01-07,0.305519,2026,False
6525,2022-03-30,0.286443,2022,True
6532,2021-11-09,0.23962,2021,False
6533,2022-11-10,1.496331,2022,True
6535,2022-08-19,101.238095,2022,True
6541,2024-07-01,1.576969,2024,False
6548,2022-02-09,0.325449,2022,True
6561,2024-08-13,0.313413,2024,False
6576,2023-01-31,76.115702,2023,False
6578,2024-02-19,0.382791,2024,False
6579,2022-08-04,0.252966,2022,True
6589,2022-11-16,0.235508,2022,True
6590,2021-11-11,0.262292,2021,False
6605,2022-08-11,0.286881,2022,True
6605,2023-06-12,0.214129,2023,False
6606,2022-04-11,0.22693,2022,True
6609,2022-02-11,0.604486,2022,True
6609,2022-05-05,0.275261,2022,True
6612,2022-09-08,0.353656,2022,True
6616,2022-05-18,0.362853,2022,True
6624,2022-09-23,0.877735,2022,True
6640,2024-02-29,3.714117,2024,False
6641,2022-03-30,2.56588,2022,True
6642,2021-07-07,0.379143,2021,False
6643,2022-08-12,0.27777,2022,True
6643,2022-09-22,0.434912,2022,True
6643,2023-02-09,0.223498,2023,False
6649,2022-06-17,1.896767,2022,True
6649,2022-08-18,2.033354,2022,True
6651,2022-11-30,0.152958,2022,True
6651,2024-09-09,0.297058,2024,False
6655,2022-03-17,0.975421,2022,True
6657,2022-10-14,0.513274,2022,True
6657,2022-12-27,0.700741,2022,True
6657,2024-11-25,0.434146,2024,False
6662,2022-08-09,0.162595,2022,True
6662,2023-03-30,0.32845,2023,False
6662,2024-06-05,0.394689,2024,False
6662,2025-05-22,0.17972,2025,False
6664,2022-02-25,0.180084,2022,True
6664,2023-11-13,0.158154,2023,False
6669,2022-11-03,0.879988,2022,True
6669,2024-05-15,0.207941,2024,False
6669,2025-06-12,1.872934,2025,False
6670,2022-11-10,1.009082,2022,True
6671,2023-05-02,0.163619,2023,False
6679,2024-02-23,0.738532,2024,False
6683,2024-06-12,0.184817,2024,False
6683,2025-12-01,0.206315,2025,False
6684,2026-06-22,0.412989,2026,False
6690,2024-07-01,0.227178,2024,False
6691,2025-01-02,0.887292,2025,False
6693,2021-11-09,0.427984,2021,False
6693,2022-06-07,0.34743,2022,True
6697,2022-12-02,0.566753,2022,True
6697,2025-08-11,0.706029,2025,False
6698,2021-12-10,0.393536,2021,False
6698,2025-07-11,0.800538,2025,False
6698,2025-09-08,0.534627,2025,False
6703,2023-07-10,0.447702,2023,False
6712,2022-04-01,1.04639,2022,True
6715,2024-02-16,0.396559,2024,False
6727,2021-07-01,0.335147,2021,False
6728,2022-03-03,0.68788,2022,True
6728,2022-04-06,0.864452,2022,True
6741,2022-12-05,0.161146,2022,True
6741,2025-08-08,0.162564,2025,False
6751,2023-03-20,0.68658,2023,False
6752,2022-07-07,0.229088,2022,True
6752,2022-08-05,0.17216,2022,True
6752,2022-09-12,0.328926,2022,True
6753,2022-07-25,0.483145,2022,True
6757,2022-02-15,3.556707,2022,True
6761,2021-08-12,0.443477,2021,False
6762,2025-02-17,0.497862,2025,False
6767,2022-06-14,0.815579,2022,True
6767,2022-12-27,0.197969,2022,True
6767,2023-05-26,0.516843,2023,False
6770,2026-05-28,0.324638,2026,False
6776,2024-12-06,0.226632,2024,False
6781,2022-12-01,0.193341,2022,True
6782,2022-08-08,1.316136,2022,True
6782,2025-06-04,0.499328,2025,False
6794,2025-07-30,0.25631,2025,False
6804,2021-12-14,0.929348,2021,False
6806,2021-09-30,3.172422,2021,False
6811,2026-05-22,0.24255,2026,False
6834,2024-07-16,0.304547,2024,False
6834,2025-04-25,0.297083,2025,False
6843,2022-09-08,1.018173,2022,True
6863,2024-06-18,1.025971,2024,False
6863,2026-05-12,0.456,2026,False
6928,2025-09-03,0.749168,2025,False
6949,2025-06-30,0.552433,2025,False
6953,2026-01-12,0.906678,2026,False
6983,2024-12-26,12.776383,2024,False
8024,2022-03-24,0.411967,2022,True
8027,2022-05-31,2.05082,2022,True
8028,2023-07-14,0.228457,2023,False
8032,2022-06-13,0.322936,2022,True
8033,2021-09-30,0.778221,2021,False
8034,2023-06-12,12.564658,2023,False
8034,2025-08-07,1.505426,2025,False
8038,2022-11-04,8.045203,2022,True
8039,2026-03-02,0.182381,2026,False
8044,2021-07-12,0.19524,2021,False
8046,2026-01-19,0.46575,2026,False
8048,2022-12-12,0.596725,2022,True
8050,2022-04-21,0.698503,2022,True
8050,2022-08-26,0.156146,2022,True
8050,2022-12-12,0.497057,2022,True
8059,2022-08-08,0.78868,2022,True
8059,2024-10-21,1.277618,2024,False
8064,2022-11-28,0.441371,2022,True
8068,2022-05-30,3.501854,2022,True
8069,2022-04-21,0.533015,2022,True
8070,2025-08-29,0.167133,2025,False
8074,2024-02-16,0.419522,2024,False
8074,2024-09-11,0.195688,2024,False
8076,2022-12-08,0.284159,2022,True
8083,2026-01-12,0.276979,2026,False
8084,2022-08-22,0.447959,2022,True
8084,2022-09-20,0.820106,2022,True
8086,2024-03-19,3.05252,2024,False
8087,2022-01-11,0.229196,2022,True
8087,2022-04-22,0.44324,2022,True
8089,2022-11-04,0.548604,2022,True
8091,2022-09-13,0.155632,2022,True
8092,2021-12-17,1.342524,2021,False
8093,2023-07-05,0.478097,2023,False
8096,2024-08-13,0.156239,2024,False
8097,2022-02-21,7.34758,2022,True
8097,2022-06-10,6.016998,2022,True
8099,2024-06-12,0.162679,2024,False
8110,2021-07-06,0.350583,2021,False
8111,2024-08-28,0.153036,2024,False
8114,2022-04-15,0.669813,2022,True
8114,2022-05-27,0.328432,2022,True
8114,2022-09-01,0.522827,2022,True
8121,2026-05-05,0.185662,2026,False
8147,2023-10-05,0.472824,2023,False
8147,2025-06-11,0.994524,2025,False
8155,2025-10-08,0.325985,2025,False
8171,2021-07-12,9.270851,2021,False
8176,2022-12-19,0.2663,2022,True
8210,2022-01-25,0.343124,2022,True
8222,2022-07-13,0.441713,2022,True
8222,2022-09-12,0.883307,2022,True
8234,2022-05-19,0.490219,2022,True
8255,2022-12-23,0.426719,2022,True
8271,2022-10-12,0.207302,2022,True
8271,2025-11-10,0.886276,2025,False
8271,2026-03-11,1.938193,2026,False
8279,2022-04-21,0.163154,2022,True
8299,2022-02-16,0.334458,2022,True
8299,2025-09-12,0.234773,2025,False
8341,2022-12-13,0.174119,2022,True
8341,2024-10-21,0.427364,2024,False
8342,2022-04-08,0.317187,2022,True
8342,2022-05-09,0.61738,2022,True
8358,2026-05-21,0.358062,2026,False
8374,2022-12-26,0.181071,2022,True
8390,2022-10-31,0.177817,2022,True
8390,2022-12-14,0.229729,2022,True
8390,2024-10-30,0.628043,2024,False
8390,2026-05-12,0.318751,2026,False
8403,2022-04-12,0.301997,2022,True
8403,2022-05-18,0.227171,2022,True
8403,2022-07-19,0.198824,2022,True
8410,2022-08-10,0.174352,2022,True
8415,2022-11-28,0.259856,2022,True
8415,2026-05-11,0.185748,2026,False
8423,2022-08-10,1.127247,2022,True
8426,2023-04-11,0.909688,2023,False
8426,2023-10-16,0.355784,2023,False
8429,2023-05-22,0.226913,2023,False
8433,2022-01-11,0.665172,2022,True
8442,2022-02-11,0.450441,2022,True
8442,2022-05-12,0.645944,2022,True
8442,2022-09-14,1.056227,2022,True
8442,2022-12-28,0.271419,2022,True
8454,2022-12-26,0.188383,2022,True
8463,2024-02-20,0.834911,2024,False
8466,2023-12-14,0.274482,2023,False
8466,2024-04-22,0.330041,2024,False
8472,2023-12-18,0.221293,2023,False
8473,2022-08-19,0.223661,2022,True
8476,2022-03-03,3.064916,2022,True
8476,2024-07-01,0.387189,2024,False
8478,2023-01-16,0.161417,2023,False
8917,2022-07-28,0.150613,2022,True
8921,2022-04-18,0.164636,2022,True
8927,2022-07-28,0.537342,2022,True
8937,2024-08-12,1.974558,2024,False
8938,2022-02-21,0.295529,2022,True
8940,2022-10-05,1.680044,2022,True
8940,2023-05-15,1.173124,2023,False
8941,2022-06-13,0.325832,2022,True
8996,2022-08-26,0.362152,2022,True
8996,2026-04-09,2.057268,2026,False
9802,2022-08-25,0.793711,2022,True
9902,2022-11-22,3.014706,2022,True
9902,2023-11-06,98.717391,2023,False
9902,2024-03-12,9.510555,2024,False
9905,2022-02-07,0.238555,2022,True
9907,2025-03-11,0.265218,2025,False
9917,2023-03-29,0.167084,2023,False
9928,2022-01-13,0.271491,2022,True
9928,2022-08-08,0.274359,2022,True
9935,2024-10-24,0.355546,2024,False
9941,2022-11-30,0.184762,2022,True
9950,2022-02-15,1.207343,2022,True
9958,2022-01-07,0.538333,2022,True
9960,2022-07-18,0.75128,2022,True
9962,2022-03-21,0.839772,2022,True
9962,2022-09-14,0.725788,2022,True
