date,cb_id,cb_name,transaction_type,close,change,open,max,min,no_of_transactions,unit,trading_value,avg_price,next_ref_price,next_max_limit,next_min_limit
2016-03-08,99442,新麗二,等價,108.45,2.25,108.45,108.45,108.45,2,4,433800,108.45,108.45,119.25,97.65
2016-03-09,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,108.45,108.45,119.25,97.65
2016-03-10,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,108.45,108.45,119.25,97.65
2016-03-11,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,108.45,108.45,119.25,97.65
2016-03-14,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,108.45,108.45,119.25,97.65
2016-03-15,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,108.45,108.45,119.25,97.65
2016-03-16,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,108.45,108.45,119.25,97.65
2016-03-17,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,108.45,108.45,119.25,97.65
2016-03-18,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,108.45,108.45,119.25,97.65
2016-03-21,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,108.45,108.45,119.25,97.65
2016-03-22,99442,新麗二,等價,106.8,-1.65,106.8,106.8,106.8,4,7,747600,106.8,106.8,117.45,96.15
2016-03-23,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.8,106.8,117.45,96.15
2016-03-24,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.8,106.8,117.45,96.15
2016-03-25,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.8,106.8,117.45,96.15
2016-03-28,99442,新麗二,等價,105.55,-1.25,105.55,105.55,105.55,1,5,527750,105.55,105.55,116.1,95.0
2016-03-29,99442,新麗二,等價,104.8,-0.75,104.8,104.8,104.8,1,5,524000,104.8,104.8,115.25,94.35
2016-03-30,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,104.8,104.8,115.25,94.35
2016-03-31,99442,新麗二,等價,104.05,-0.75,104.05,104.05,104.05,1,2,208100,104.05,104.05,114.45,93.65
2016-04-01,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,104.05,104.05,114.45,93.65
2016-04-06,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,104.05,104.15,114.55,93.75
2016-04-07,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,104.05,104.3,114.7,93.9
2016-04-08,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,104.05,104.85,115.3,94.4
2016-04-11,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,104.05,104.85,115.3,94.4
2016-04-12,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,104.05,104.85,115.3,94.4
2016-04-13,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,104.05,104.85,115.3,94.4
2016-04-14,99442,新麗二,等價,107.0,2.15,105.6,107.45,105.6,9,50,5348500,106.97,107.0,117.7,96.3
2016-04-15,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-04-18,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-04-19,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-04-20,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-04-21,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-04-22,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-04-25,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-04-26,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-04-27,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-04-28,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-04-29,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-05-03,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,107.0,117.7,96.3
2016-05-04,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,106.8,117.45,96.15
2016-05-05,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,106.45,117.05,95.85
2016-05-06,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,106.45,117.05,95.85
2016-05-09,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,106.45,117.05,95.85
2016-05-10,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,106.45,117.05,95.85
2016-05-11,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,106.45,117.05,95.85
2016-05-12,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,106.45,117.05,95.85
2016-05-13,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,106.2,116.8,95.6
2016-05-16,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.97,106.2,116.8,95.6
