date,stock_id,stock_name,disposition_cnt,condition,measure,period_start,period_end
2020-07-23,053613,元油反群益9A購02,2,連續三次,第二次處置,2020-07-24,2020-08-06
2020-05-26,053740,元油反國票99購01,2,連續三次,第一次處置,2020-05-27,2020-06-09
2020-05-29,053740,元油反國票99購01,2,連續三次,第二次處置,2020-06-01,2020-06-12
2020-06-10,053879,元油反中信98購02,2,連續三次,第一次處置,2020-06-11,2020-06-24
2020-06-15,053879,元油反中信98購02,2,連續三次,第二次處置,2020-06-16,2020-07-01
2020-06-09,054039,元油反元大96購08,2,連續三次,第一次處置,2020-06-10,2020-06-23
2020-06-12,054039,元油反元大96購08,2,連續三次,第二次處置,2020-06-15,2020-06-30
2020-06-09,054125,元油反元大96購09,2,連續三次,第一次處置,2020-06-10,2020-06-23
2020-06-12,054125,元油反元大96購09,2,連續三次,第二次處置,2020-06-15,2020-06-30
2017-03-21,054174,大同國泰67購01,2,連續三次,第一次處置,2017-03-22,2017-04-06
2017-03-24,054174,大同國泰67購01,2,連續三次,第二次處置,2017-03-27,2017-04-11
2022-09-28,054196,元石油凱基1A購01,1,連續三次,第一次處置,2022-09-29,2022-10-13
2020-06-09,054242,元油反元大98購02,2,連續三次,第一次處置,2020-06-10,2020-06-23
2020-06-12,054242,元油反元大98購02,2,連續三次,第二次處置,2020-06-15,2020-06-30
2020-06-09,054283,元油反元大99購02,2,連續三次,第一次處置,2020-06-10,2020-06-23
2020-06-12,054283,元油反元大99購02,2,連續三次,第二次處置,2020-06-15,2020-06-30
2017-03-20,054348,大同兆豐66購01,1,連續三次,第一次處置,2017-03-21,2017-04-05
2020-04-30,054526,道瓊反統一98購01,1,連續三次,第一次處置,2020-05-04,2020-05-15
2020-07-14,055165,元油反統一98購01,2,連續三次,第一次處置,2020-07-15,2020-07-28
2020-07-17,055165,元油反統一98購01,2,連續三次,第二次處置,2020-07-20,2020-07-31
2020-05-14,05544P,台表科元富96售01,1,連續三次,第一次處置,2020-05-15,2020-05-28
2017-03-16,055852,大同兆豐67購01,1,連續三次,第一次處置,2017-03-17,2017-03-30
2017-03-20,056036,大同國泰67購03,1,連續三次,第一次處置,2017-03-21,2017-04-05
2015-11-12,05683P,MK富邦,1,連續三次,第一次處置,2015-11-13,2015-11-26
2026-04-24,05722U,台灣50凱基55售05,1,連續三次,第一次處置,2026-04-27,2026-05-11
2020-04-06,058277,FBVIX中信03購01,2,連續三次,第一次處置,2020-04-07,2020-04-20
2020-04-09,058277,FBVIX中信03購01,2,連續三次,第二次處置,2020-04-10,2020-04-23
2020-04-06,058279,FBVIX中信03購03,2,連續三次,第一次處置,2020-04-07,2020-04-20
2020-04-09,058279,FBVIX中信03購03,2,連續三次,第二次處置,2020-04-10,2020-04-23
2026-05-22,058462,汎銓元大59購05,2,連續三次,第一次處置,2026-05-25,2026-06-05
2026-06-02,058462,汎銓元大59購05,1,連續三次,第二次處置,2026-06-03,2026-06-16
2026-05-29,058498,汎銓國票5A購01,1,連續三次,第一次處置,2026-06-01,2026-06-12
2020-04-15,058544,FBVIX富邦9B購01,2,連續三次,第一次處置,2020-04-16,2020-04-29
2020-04-20,058544,FBVIX富邦9B購01,2,連續三次,第二次處置,2020-04-21,2020-05-05
2020-04-08,058835,元油2X中信9C購02,1,連續三次,第一次處置,2020-04-09,2020-04-22
2022-06-28,058855,東鹼凱基17購02,1,連續三次,第一次處置,2022-06-29,2022-07-12
2020-06-01,058891,元油2X元大9C購07,1,連續三次,第一次處置,2020-06-02,2020-06-15
