date,TotalExchangeMarginMaintenance
2019-09-06,170.698
2019-09-09,169.783
2019-09-10,168.534
2019-09-11,169.09
2019-09-12,170.079
2019-09-16,169.872
2019-09-17,169.585
2019-09-18,170.292
2019-09-19,169.965
2019-09-20,170.905
2019-09-23,171.184
2019-09-24,170.594
2019-09-25,169.644
2019-09-26,169.381
2019-09-27,167.503
2019-10-01,168.998
2019-10-02,169.712
2019-10-03,169.611
2019-10-04,169.771
2019-10-07,170.481
2019-10-08,170.338
2019-10-09,169.056
2019-10-14,171.465
2019-10-15,171.712
2019-10-16,171.423
2019-10-17,172.516
2019-10-18,172.363
2019-10-21,172.923
2019-10-22,173.317
2019-10-23,173.205
2019-10-24,174.606
2019-10-25,173.749
2019-10-28,174.114
2019-10-29,172.736
2019-10-30,173.62
2019-10-31,172.506
2019-11-01,173.574
2019-11-04,174.5
2019-11-05,175.384
2019-11-06,174.312
2019-11-07,172.823
2019-11-08,172.819
2019-11-11,168.961
2019-11-12,167.273
2019-11-13,170.82
2019-11-14,170.369
2019-11-15,171.415
2019-11-18,171.992
2019-11-19,172.055
2019-11-20,171.112
2019-11-21,171.224
2019-11-22,171.022
2019-11-25,171.697
2019-11-26,172.683
2019-11-27,173.147
2019-11-28,172.273
2019-11-29,170.774
2019-12-02,169.911
2019-12-03,171.066
2019-12-04,170.826
2019-12-05,172.033
2019-12-06,172.544
2019-12-09,173.052
2019-12-10,172.679
2019-12-11,173.365
2019-12-12,173.319
2019-12-13,172.678
2019-12-16,173.654
2019-12-17,174.658
2019-12-18,174.485
2019-12-19,173.89
2019-12-20,173.758
2019-12-23,173.297
2019-12-24,173.42
2019-12-25,174.547
2019-12-26,174.478
2019-12-27,174.941
2019-12-30,175.944
2019-12-31,175.92
2020-01-02,177.565
2020-01-03,176.11
2020-01-06,173.898
2020-01-07,171.286
2020-01-08,169.904
2020-01-09,172.147
2020-01-10,172.418
2020-01-13,174.254
2020-01-14,175.689
2020-01-15,174.509
2020-01-16,175.409
2020-01-17,175.346
2020-01-20,176.113
2020-01-30,162.875
2020-01-31,163.511
2020-02-03,161.284
2020-02-04,164.949
2020-02-05,164.512
2020-02-06,167.631
2020-02-07,164.85
2020-02-10,164.033
2020-02-11,166.643
2020-02-12,168.77
2020-02-13,168.16
2020-02-14,169.487
2020-02-17,168.5
2020-02-18,167.719
2020-02-19,169.396
2020-02-20,169.488
2020-02-21,168.556
2020-02-24,167.584
2020-02-25,167.374
2020-02-26,165.368
2020-02-27,160.625
2020-03-02,160.949
2020-03-03,163.62
2020-03-04,163.485
2020-03-05,165.981
2020-03-06,164.636
2020-03-09,158.185
2020-03-10,159.74
2020-03-11,157.554
2020-03-12,149.537
2020-03-13,147.92
2020-03-16,143.356
2020-03-17,141.83
2020-03-18,140.995
2020-03-19,136.849
2020-03-20,146.355
2020-03-23,142.748
2020-03-24,92.557
