futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount
TX,2025-06-13,外資,73260,322936499,76166,335257052,23361,102158326,65361,285577552
TX,2025-06-13,投信,3814,16557596,4437,19524483,52445,229829867,13086,57413851
TX,2025-06-13,自營商,14613,64130480,11620,51089894,8415,36614210,4961,21684729
MTX,2025-06-16,外資,82432,90541042,80086,87945665,8107,8917497,5037,5534785
MTX,2025-06-16,投信,105,113866,88,96900,183,199825,12,13015
MTX,2025-06-16,自營商,11364,12417921,11871,12968328,3062,3328062,8580,9358964
TX,2025-06-16,外資,95679,419400771,94737,413962511,23505,102591812,64541,281181648
TX,2025-06-16,投信,30759,133491417,33328,145980393,50018,218414531,13228,57855787
TX,2025-06-16,自營商,13817,60361426,13468,58928725,8483,36940051,4508,19739830
MTX,2025-06-17,外資,73718,81480937,72972,80629772,7815,8644602,3951,4340245
MTX,2025-06-17,投信,121,131748,71,78664,233,254014,12,13075
MTX,2025-06-17,自營商,12069,13271804,12442,13678862,3888,4251883,9417,10324696
TX,2025-06-17,外資,82308,363243693,82693,363825602,29056,127357821,70457,307300568
TX,2025-06-17,投信,28403,124038833,27879,122812018,51048,222486322,13734,59877095
TX,2025-06-17,自營商,13524,59532941,12476,54947095,9090,39703826,4139,18152228
MTX,2025-06-18,外資,77157,85094156,75726,83541004,2904,3182787,1980,2171169
MTX,2025-06-18,投信,10,10926,8,8890,235,257689,12,13159
MTX,2025-06-18,自營商,15013,16545236,13890,15301961,3560,3896702,5673,6206514
TX,2025-06-18,外資,54819,241392132,55862,246157771,21552,94498343,66602,292021031
TX,2025-06-18,投信,1723,7578180,713,3134375,52201,228964026,13877,60867297
TX,2025-06-18,自營商,12186,53747916,13359,58990259,8189,35880265,2889,12642757
MTX,2025-06-19,外資,72280,78767182,77999,85001438,1085,1175951,6155,6677861
MTX,2025-06-19,投信,15,16278,0,0,250,271288,12,13022
MTX,2025-06-19,自營商,7227,7867470,8114,8823837,3580,3881409,6789,7352395
TX,2025-06-19,外資,46549,202817745,46772,203822253,18676,81034192,64062,277966781
TX,2025-06-19,投信,1303,5672840,2033,8824150,51361,222937557,13767,59757040
TX,2025-06-19,自營商,5430,23637492,4843,21074297,9059,39285583,3183,13785387
MTX,2025-06-20,外資,75617,81618144,74310,80198111,1730,1871326,5167,5592633
MTX,2025-06-20,投信,2,2165,11,11900,243,263048,14,15155
MTX,2025-06-20,自營商,7803,8421985,7967,8596703,3669,3969266,7060,7628537
TX,2025-06-20,外資,43345,187218145,42330,182799892,19103,82686654,63564,275136603
TX,2025-06-20,投信,474,2051987,616,2664415,51439,222730870,13987,60563710
TX,2025-06-20,自營商,5994,25875863,5783,24958403,9464,40947217,3376,14580996
MTX,2025-06-23,外資,102372,109947388,103350,111012098,1803,1934246,6286,6747183
MTX,2025-06-23,投信,16,17172,0,0,259,278062,14,15030
MTX,2025-06-23,自營商,10129,10861461,11001,11779417,3848,4127886,8015,8587676
TX,2025-06-23,外資,67563,289975698,66854,286936836,20591,88397458,64388,276405151
TX,2025-06-23,投信,1604,6884353,423,1814384,52925,227281120,14292,61375565
TX,2025-06-23,自營商,8323,35620358,7384,31644536,10280,44113700,3287,14078322
MTX,2025-06-24,外資,100394,108822428,96509,104604103,3635,3988850,3636,3992019
MTX,2025-06-24,投信,36,39479,0,0,295,323895,14,15371
MTX,2025-06-24,自營商,11891,12923968,10590,11512003,4255,4664529,7000,7674062
TX,2025-06-24,外資,60031,260649008,59823,259873631,22222,97564175,65715,288497459
TX,2025-06-24,投信,1729,7586887,228,999535,53877,236617009,13743,60356507
TX,2025-06-24,自營商,7792,33915079,9294,40482898,9066,39778622,3612,15829916
MTX,2025-06-25,外資,67096,73952183,69048,76097770,2001,2215272,4086,4527783
MTX,2025-06-25,投信,19,21014,0,0,311,344635,11,12190
MTX,2025-06-25,自營商,8226,9069660,7458,8220996,4433,4897386,6382,7051144
TX,2025-06-25,外資,39978,176334472,42346,186782987,22530,99830364,68346,302823145
TX,2025-06-25,投信,1733,7678332,22,97516,55278,245025263,13433,59543116
TX,2025-06-25,自營商,7754,34204237,7484,33035272,9530,42197178,3813,16864389
MTX,2025-06-26,外資,67540,74846498,68424,75823503,2068,2284456,5012,5541682
MTX,2025-06-26,投信,5,5529,4,4423,316,349417,15,16586
MTX,2025-06-26,自營商,5988,6632793,7062,7816406,4294,4732848,7317,8065462
TX,2025-06-26,外資,41658,184693246,44526,197369567,23956,105918878,72744,321580660
TX,2025-06-26,投信,755,3339634,628,2779107,55757,246613211,13785,60971055
TX,2025-06-26,自營商,7190,31846486,5692,25230439,10874,48028065,3659,16145353
MTX,2025-06-27,外資,72903,80499571,72241,79773160,2553,2821182,4840,5353359
MTX,2025-06-27,投信,4,4425,0,0,320,353952,15,16592
MTX,2025-06-27,自營商,8886,9807457,8839,9748151,4768,5256683,7820,8618727
TX,2025-06-27,外資,43693,193004202,47648,210469414,22618,100027700,75299,332946901
TX,2025-06-27,投信,2296,10153082,220,973291,57968,256473619,13920,61587648
TX,2025-06-27,自營商,8939,39452755,6875,30360223,12922,57081548,3623,15986916
MTX,2025-06-30,外資,68780,76100538,64887,71785490,4204,4651819,2512,2781083
MTX,2025-06-30,投信,46,50904,0,0,365,404128,14,15501
MTX,2025-06-30,自營商,10402,11502920,10068,11133645,5291,5838225,8193,9042867
TX,2025-06-30,外資,42172,186684362,41559,183952809,23601,104480242,75602,334603495
TX,2025-06-30,投信,1385,6130005,72,318734,59274,262512691,13913,61617894
TX,2025-06-30,自營商,6505,28775400,7131,31559123,12338,54532672,3618,15978129
MTX,2025-07-01,外資,84813,94650902,83358,93038194,5569,6221630,2240,2502903
MTX,2025-07-01,投信,12,13457,0,0,375,419100,12,13411
MTX,2025-07-01,自營商,13424,14970610,13570,15150469,4907,5457036,8054,8974545
TX,2025-07-01,外資,55057,246044324,55461,247850037,25313,113115842,77830,347686059
TX,2025-07-01,投信,1583,7086389,96,429065,60622,271004589,13774,61575290
TX,2025-07-01,自營商,10183,45530296,12080,54076552,10814,48219228,3999,17837479
MTX,2025-07-02,外資,61457,68551132,63838,71207053,4175,4672438,3330,3726795
MTX,2025-07-02,投信,3,3359,0,0,378,423228,12,13436
MTX,2025-07-02,自營商,8440,9408825,6963,7757958,4470,4976056,6483,7229427
TX,2025-07-02,外資,38458,171636407,40876,182442460,21867,97888606,76813,343764228
TX,2025-07-02,投信,1152,5156931,346,1546896,61428,275111441,13774,61688236
TX,2025-07-02,自營商,6500,29004779,5840,26061858,11348,50701779,3886,17365246
MTX,2025-07-03,外資,72651,81874969,65275,73545310,4691,5316783,646,732355
MTX,2025-07-03,投信,2,2268,0,0,380,430920,12,13608
MTX,2025-07-03,自營商,8634,9720016,8102,9123263,4082,4596049,5597,6323642
TX,2025-07-03,外資,43868,197923596,41453,187036861,22377,101455145,73534,333289894
TX,2025-07-03,投信,1417,6426302,34,154214,62494,283472784,13457,61040952
TX,2025-07-03,自營商,5507,24878803,7126,32218093,10912,49372394,5077,22989546
MTX,2025-07-04,外資,67011,75877945,74375,84211769,1883,2110283,5707,6399440
MTX,2025-07-04,投信,9,10150,2,2244,389,436380,14,15705
