cb_id,stock_id,cb_name,InitialDateOfConversion,DueDateOfConversion,IssuanceAmount
26363,2636,台驊投控三,2015-07-10,2018-06-09,300000000
26364,2636,台驊投控四,2021-03-03,2023-12-02,300000000
26371,2637,慧洋一KY,2012-04-30,2017-03-19,600000000
26372,2637,慧洋二KY,2018-01-01,2020-09-30,400000000
26373,2637,慧洋三KY,2018-01-03,2020-10-02,800000000
26401,2640,大車隊一,2014-07-10,2017-05-30,1000000000
26411,2641,正德一,2015-02-09,2018-01-08,250000000
26412,2641,正德二,2015-02-10,2018-01-09,100000000
26413,2641,正德三,2018-03-01,2020-11-28,250000000
26414,2641,正德四,2018-03-01,2020-11-29,300000000
26415,2641,正德五,2022-10-29,2025-07-28,600000000
26416,2641,正德六,2023-11-24,2026-08-23,400000000
26417,2641,正德七,2024-10-27,2027-07-26,590000000
26418,2641,正德八,2025-11-07,2030-08-06,780000000
27041,2704,國賓一,2008-06-20,2013-05-09,1000000000
27071,2707,晶華一,2013-08-11,2018-06-30,1500000000
27072,2707,晶華二,2016-09-17,2021-06-16,1500000000
27241,2724,富驛一,2013-10-27,2016-09-17,200000000
27261,2726,雅茗一KY,2015-12-20,2018-11-19,200000000
27271,2727,王品一,2023-06-30,2028-03-29,700000000
27291,2729,瓦城一,2020-03-12,2022-12-11,800000000
27311,2731,雄獅一,2020-10-01,2023-06-30,700000000
27312,2731,雄獅二,2022-03-10,2024-12-09,400000000
27321,2732,六角一,2016-02-26,2019-01-25,300000000
27322,2732,六角二,2019-05-21,2022-02-20,450000000
27323,2732,六角三,2024-04-27,2027-01-26,600000000
27324,2732,六角四,2026-03-09,2028-12-08,600000000
27341,2734,易飛網一,2015-06-27,2018-05-26,300000000
27431,2743,山富一,2025-11-29,2028-08-28,300000000
27451,2745,五福一,2026-04-06,2029-01-05,300000000
27481,2748,雲品一,2019-03-25,2023-12-24,800000000
27531,2753,八方雲集一,2026-01-10,2028-10-09,800000000
27532,2753,八方雲集二,2026-01-21,2028-10-20,200000000
27551,2755,揚秦一,2025-04-16,2028-01-15,200000000
27561,2756,聯發國際一,2024-08-31,2027-05-30,300000000
28121,2812,台中一,2011-07-16,2014-06-05,2300000000
28411,2841,台開一,2015-09-19,2018-08-18,200000000
28551,2855,統證一,2008-06-29,2011-04-22,3000000000
28561,2856,元富一,2008-10-26,2013-07-15,2000000000
28851,2885,元金一,2010-09-08,2015-06-27,5000000000
288601,2886,兆豐E1,2011-10-12,2014-01-01,6000000000
288602,2886,兆豐金E2,2015-09-26,2018-08-25,5800000000
288701,2887,台新金E1,2022-07-02,2025-04-01,5000000000
28883,2888,新光金二,2012-05-24,2017-04-13,5000000000
28884,2888,新光金三,2014-09-28,2019-08-27,5000000000
28885,2888,新光金四,2017-11-23,2022-08-22,4000000000
28886,2888,新光金五,2019-03-18,2023-12-17,5000000000
28887,2888,新光金六,2023-08-13,2028-05-12,4999300096
29031,2903,遠百一,2011-04-04,2014-02-21,2500000000
29051,2905,三商一,2021-04-26,2026-01-25,2300000000
29061,2906,高林一,2023-12-21,2026-09-20,1000000000
29111,2911,麗嬰一,2013-02-10,2015-12-31,600000000
29131,2913,農林一,2011-06-26,2014-05-15,750000000
29132,2913,農林二,2011-06-27,2014-05-16,750000000
29151,2915,潤全一,2011-02-14,2016-01-03,4000000000
29241,2924,東凌一,2013-03-05,2016-01-25,200000000
29242,2924,東凌二KY,2015-11-15,2018-10-14,150000000
29243,2924,東凌三KY,2015-11-16,2018-10-15,100000000
29371,2937,集雅社一,2020-12-05,2023-09-04,250000000
30032,3003,健和二,2010-09-19,2015-08-08,500000000
30052,3005,神基二,2005-09-12,2010-08-01,1000000000
30061,3006,晶豪科一,2024-01-28,2026-10-27,1000000000
30102,3010,華立二,2014-09-02,2017-08-01,1000000000
30103,3010,華立三,2021-11-25,2024-08-24,2000000000
30112,3011,今皓二,2026-06-27,2029-03-26,450000000
30133,3013,晟銘電三,2024-02-17,2026-11-16,400000000
30134,3013,晟銘電四,2025-01-19,2027-10-18,500000000
30161,3016,嘉晶一,2007-09-24,2012-06-13,300000000
30162,3016,嘉晶二,2011-08-16,2014-06-05,300000000
30163,3016,嘉晶三,2020-02-01,2022-10-31,600000000
30164,3016,嘉晶四,2022-06-30,2025-03-29,500000000
30165,3016,嘉晶五,2024-10-27,2027-07-26,500000000
30171,3017,奇鋐一,2011-01-17,2013-12-16,1200000000
30181,3018,同開一,2014-12-20,2017-11-19,75000000
30182,3018,同開二,2014-12-21,2017-11-20,115000000
30183,3018,同開三,2017-10-15,2020-07-14,200000000
30184,3018,隆銘綠能四,2021-12-17,2024-09-16,350000000
30192,3019,亞光二,2009-10-15,2014-09-05,1500000000
30193,3019,亞光三,2011-06-28,2014-05-17,1000000000
30194,3019,亞光四,2011-07-01,2014-05-20,1000000000
30221,3022,威達一,2008-04-21,2013-01-11,1000000000
30232,3023,信邦二,2007-03-01,2012-01-18,600000000
30233,3023,信邦三,2010-08-26,2013-05-15,300000000
30234,3023,信邦四,2012-04-06,2015-02-23,300000000
30235,3023,信邦五,2014-09-24,2017-06-13,300000000
30236,3023,信邦六,2017-09-09,2020-06-08,500000000
30237,3023,信邦七,2021-03-16,2023-12-15,1300000000
30238,3023,信邦八,2023-03-13,2025-12-12,1000000000
30263,3026,禾伸三,2010-07-24,2015-06-13,700000000
30271,3027,盛達一,2010-10-17,2015-09-06,300000000
30283,3028,增你三,2006-09-21,2011-06-09,500000000
30284,3028,增你強四,2021-11-04,2024-08-03,600000000
30285,3028,增你強五,2026-10-25,2031-07-24,500000000
30292,3029,零壹二,2014-06-20,2019-05-09,500000000
30321,3032,偉訓一,2026-02-14,2028-11-13,1000000000
30322,3032,偉訓二,2026-02-26,2030-11-25,1000000000
30333,3033,威健三,2011-07-21,2016-06-10,800000000
30334,3033,威健四,2016-09-23,2019-08-22,200000000
30335,3033,威健五,2021-02-04,2025-11-03,1000000000
30336,3033,威健六,2022-09-02,2027-06-01,2000000000
30337,3033,威健七,2024-12-12,2029-09-11,2500000000
30341,3034,聯詠一,2005-07-23,2010-06-12,150000000
30342,3034,聯詠二,2006-07-08,2011-05-28,300000000
30365,3036,文曄五,2016-08-08,2019-07-07,1500000000
30366,3036,文曄六,2019-10-02,2022-07-01,1200000000
30371,3037,欣興一,2026-02-04,2030-11-03,4000000000
30384,3038,全台四,2010-11-23,2013-10-12,300000000
30401,3040,遠見一,2025-10-01,2028-06-30,500000000
30422,3042,晶技二,2006-12-09,2011-10-28,800000000
30423,3042,晶技三,2010-02-12,2013-01-01,800000000
